Country,Happiness Rank,Happiness Score,Corruption,Human Development Index,Life Expectancy at Birth,Mean Years of Schooling,GDP Per Capita,Inequality in eduation,Gender Inequality Index,"Maternal Mortality Ratio (deaths per 100,000 live births)",Carbon dioxide emissions per capita (production) (tonnes),Year
Switzerland,2,7.509,0.41203,0.956,83.4452,13.66668034,68993.42475,1.93114,0.039,5,4.676955631,2016
Iceland,3,7.501,0.14975,0.948,82.03,13.32010517,52768.75433,2.79474,0.053,4,10.49770323,2016
Norway,4,7.498,0.35776,0.955,82.4147,12.81906033,64795.49042,6.06716,0.033,3,8.531791111,2016
Finland,5,7.413,0.41004,0.931,81.2915,12.68652487,46502.46698,1.93747,0.048,3,8.590699442,2016
Canada,6,7.404,0.31329,0.928,82.0434,13.73192024,46340.41847,2.58,0.087,10,15.37992637,2016
Netherlands,7,7.339,0.29927,0.933,81.547,12.18412018,53067.077,5.30548,0.03,6,9.712168595,2016
New Zealand,8,7.334,0.41904,0.934,82.07,13.33483982,39558.75645,1.840131778,0.126,10,7.362684887,2016
Australia,9,7.313,0.32331,0.935,82.8707,12.35210991,46558.17827,2.672566064,0.101,6,17.14339271,2016
Sweden,10,7.291,0.40867,0.939,82.3391,12.41359997,51813.28127,3.74238,0.038,4,4.398329525,2016
Israel,11,7.267,0.08728,0.913,82.4854,13.05535211,37937.41307,6.556548,0.101,3,7.549539184,2016
Austria,12,7.119,0.21348,0.915,81.5925,12.11466026,53662.57417,2.57064,0.082,5,7.684141657,2016
United States of America,13,7.104,0.14868,0.922,78.8482,13.34290981,59969.35653,2.915457403,0.216,19,16.24694746,2016
Costa Rica,14,7.087,0.10547,0.803,79.4592,8.564390182,18902.33613,12.18311,0.312,28,1.617134535,2016
Germany,16,6.994,0.28551,0.941,80.8471,14.1321497,53349.82314,2.7227,0.085,5,9.741451444,2016
Brazil,17,6.952,0.14166,0.755,74.4415,7.731040001,14143.48937,18.39506,0.431,62,2.390088781,2016
Belgium,18,6.929,0.26248,0.927,81.2661,11.98532009,50509.14666,8.6933,0.06,5,8.795878609,2016
Ireland,19,6.907,0.29754,0.929,81.5498,11.36181815,59305.86957,2.87308,0.092,6,8.551467179,2016
Luxembourg,20,6.871,0.35329,0.923,82.0535,12.84430344,77076.00087,9.35443,0.063,5,15.6969879,2016
Mexico,21,6.778,0.18355,0.772,74.4122,8.599900246,19021.831,14.11041542,0.341,34,3.914577835,2016
Singapore,22,6.739,0.46987,0.934,83.0001,11.58815956,86277.83995,10.99852963,0.048,8,7.123683634,2016
United Kingdom,23,6.725,0.27399,0.927,81.0747,13.07054679,44729.56153,3.74374,0.125,7,6.023375325,2016
Chile,24,6.705,0.11451,0.85,80.0794,10.42321491,23781.35546,11.98775734,0.259,13,4.634613919,2016
Panama,25,6.701,0.08423,0.805,77.6529,10.11919022,27197.93332,12.56513417,0.425,55,2.614564296,2016
Argentina,26,6.65,0.07296,0.847,76.3077,10.92819023,22694.2851,6.15194,0.338,40,4.389426792,2016
United Arab Emirates,28,6.573,0.35561,0.87,79.3347,10.8426199,66881.32974,18.24143743,0.118,3,22.93208617,2016
Uruguay,29,6.545,0.21394,0.815,77.5707,8.70388031,21673.66035,6.65935,0.29,18,1.904250687,2016
Malta,30,6.488,0.17554,0.891,83.1107,11.28810978,36635.29704,6.86637,0.19,6,3.222677524,2016
