Country,Happiness Score,Corruption,Happiness Rank,Human Development Groups,HDI Rank (2021),Human Development Index,Life Expectancy at Birth,Expected Years of Schooling,Mean Years of Schooling,Gross National Income Per Capita,Gender Development Index,Coefficient of human inequality,Inequality in life expectancy,Inequality in eduation,Inequality in income,Gender Inequality Index,"Maternal Mortality Ratio (deaths per 100,000 live births)",Material footprint per capita (tonnes),Carbon dioxide emissions per capita (production) (tonnes),Year
Chile,6.228499889,0.838239431,39,Very High,42.0,0.852,79.3769,16.73130035,10.9349663,22285.86026,0.968,14.96976161,4.898021221,11.73821662,28.273047,0.21,13.0,13.5,4.24621503,2020
Bahrain,6.227300167,0.7393471,40,Very High,35.0,0.877,79.1735,16.29755974,11.04658985,39030.38571,0.928,,4.602693558,12.56789221,,0.185,14.0,23.83,20.54572969,2020
Lithuania,6.215499878,0.809583843,41,Very High,35.0,0.879,75.0676,16.28506088,13.49810028,36076.54329,1.028,8.241983704,4.094921112,3.57741,17.05362,0.107,8.0,40.13,5.069079734,2020
Trinidad and Tobago,6.191899776,0.912230611,42,Very High,57.0,0.818,74.4056,14.53545292,11.61062419,23748.77675,0.985,,11.09674549,,,0.345,67.0,,25.37313646,2020
Poland,6.186299801,0.686927021,43,Very High,34.0,0.876,76.9424,16.0271492,13.1647501,31164.47794,1.008,6.888828933,4.099816799,4.45925,12.10742,0.11,2.0,17.85,7.9159743,2020
Colombia,6.163400173,0.86457181,44,High,88.0,0.756,74.7692,14.44274998,8.862859726,13184.95894,0.98,20.50432064,9.151475906,14.64929,37.712196,0.425,83.0,9.09,1.751176049,2020
Cyprus,6.15899992,0.856271744,45,Very High,29.0,0.894,81.3905,15.64826965,12.44017029,36519.29668,0.972,8.409570499,2.675261497,9.5209,13.03255,0.104,6.0,36.58,5.380504059,2020
Nicaragua,6.13710022,0.665950119,46,Medium,126.0,0.654,71.7954,12.64135783,7.144,5137.138341,0.957,22.23421055,10.20979404,25.79903661,30.693801,0.429,98.0,5.4,0.76589307,2020
Romania,6.123700142,0.934300244,47,Very High,53.0,0.824,75.3456,14.22990036,11.27511978,28358.50064,0.998,10.43457172,4.972195148,5.43438,20.89714,0.277,19.0,16.04,3.715362722,2020
Kuwait,6.102099895,0.760849059,48,Very High,50.0,0.822,76.9198,15.32443332,7.328022618,52967.77768,1.011,,5.662422657,22.10817735,,0.204,12.0,65.32,20.82510746,2020
Mauritius,6.101299763,0.805343091,49,Very High,63.0,0.804,74.3306,15.17352977,10.42791048,21194.67865,0.974,16.90243559,10.61334229,21.91298205,18.18098242,0.348,61.0,,3.129029823,2020
Kazakhstan,6.057899952,0.764490843,50,Very High,56.0,0.814,70.0304,15.76500034,12.34756189,23325.00389,1.003,6.977793122,7.426849365,3.16666,10.33987,0.164,10.0,34.41,15.51581435,2020
Estonia,6.021800041,0.623073816,51,Very High,31.0,0.892,78.3431,15.92895985,13.54843044,35131.82128,1.019,6.68923578,3.05070734,2.02737,14.98963,0.095,9.0,37.53,7.879475476,2020
Philippines,6.006000042,0.733634114,52,Medium,116.0,0.71,72.1191,13.12656975,8.969099998,8558.594619,0.986,17.63072956,14.70092869,10.0958,28.09546,0.421,121.0,8.77,1.241254444,2020
Hungary,6.000400066,0.892916501,53,Very High,46.0,0.849,75.7297,15.0336281,12.24958992,30487.04684,0.983,6.339498038,3.861354113,2.86309,12.29405,0.231,12.0,15.27,4.99728219,2020
Thailand,5.998799801,0.886272311,54,Very High,66.0,0.802,79.2739,15.88221913,8.697119713,16803.76572,1.013,14.27089305,7.177389145,16.84539,18.7899,0.335,37.0,11.75,3.692920935,2020
Argentina,5.974699974,0.842009842,55,Very High,47.0,0.84,75.8921,17.8748703,11.14726927,19178.33184,0.999,13.86211385,7.699284554,5.78729,28.099767,0.293,39.0,15.81,3.473291552,2020
Honduras,5.953199863,0.801131904,56,Medium,137.0,0.621,71.4619,10.13281417,7.088479996,4792.024122,0.959,22.25318649,10.23570347,21.61233,34.911526,0.448,65.0,6.06,0.975263329,2020
Latvia,5.949999809,0.795580089,57,Very High,39.0,0.871,75.4526,16.20252991,13.25271988,31101.79957,1.023,7.960497238,4.203511715,2.22774,17.45024,0.149,19.0,31.04,3.590715291,2020
Ecuador,5.925199986,0.801215112,58,High,95.0,0.731,72.1535,14.62423038,8.817119598,10031.66906,0.978,17.81973128,9.034752846,13.3739,31.050541,0.366,59.0,7.74,1.753199871,2020
Portugal,5.910900116,0.892629504,59,Very High,38.0,0.863,81.0545,16.87122917,9.575940132,31636.80056,0.992,10.52488029,3.059990883,13.05276,15.46189,0.069,8.0,12.25,3.960866197,2020
Jamaica,5.889800072,0.888890028,60,High,110.0,0.713,71.8686,13.40492042,9.154628661,8474.815687,0.991,15.7977499,8.911299706,6.51579,31.96616,0.336,80.0,9.95,2.508977035,2020
South Korea,5.872399807,0.789067447,61,Very High,19.0,0.922,83.6089,16.52173996,12.51293027,42698.12802,0.943,9.305038392,2.949072838,8.836042338,16.13,0.07,11.0,22.01,11.65622391,2020
Japan,5.870800018,0.654558063,62,Very High,19.0,0.923,84.6879,15.22162588,13.36610034,41487.05103,0.97,7.934751934,2.630366802,4.511,16.662889,0.082,5.0,18.18,8.149938667,2020
Peru,5.796800137,0.893714964,63,High,84.0,0.762,73.6655,15.38773354,9.885518863,10916.70628,0.954,16.3985373,8.567627907,14.32733,26.300654,0.409,88.0,9.43,1.355886751,2020
