Country,Happiness Rank,Happiness Score,Corruption,Human Development Groups,HDI Rank (2021),Human Development Index,Life Expectancy at Birth,Expected Years of Schooling,Mean Years of Schooling,Gross National Income Per Capita,Gender Development Index,Coefficient of human inequality,Inequality in life expectancy,Inequality in eduation,Inequality in income,Gender Inequality Index,"Maternal Mortality Ratio (deaths per 100,000 live births)",Material footprint per capita (tonnes),Carbon dioxide emissions per capita (production) (tonnes),Year
Latvia,53,5.94,0.064,Very High,39.0,0.871,75.5337,16.20252991,13.25271988,31058.91587,1.024,8.736677123,4.34827137,2.53011,19.33165,0.156,19.0,31.04,4.011133121,2019
South Korea,54,5.895,0.056,Very High,19.0,0.923,83.6557,16.52173996,12.51293027,43163.03806,0.943,9.250767409,2.78625989,8.836042338,16.13,0.078,11.0,22.01,12.65047738,2019
Estonia,55,5.893,0.161,Very High,31.0,0.896,78.6693,15.92895985,13.60237026,35879.58776,1.023,6.564204672,3.066164017,2.28057,14.34588,0.092,9.0,37.53,9.339055315,2019
Jamaica,56,5.89,0.028,High,110.0,0.719,71.767,13.40492042,9.154628661,9503.655135,0.994,15.88151175,9.162585258,6.51579,31.96616,0.363,80.0,9.95,2.728744464,2019
Mauritius,57,5.888,0.06,Very High,63.0,0.817,75.1179,15.17352977,10.42791048,25589.34366,0.969,16.5757856,9.633392334,21.91298205,18.18098242,0.344,61.0,,3.448145499,2019
Japan,58,5.886,0.14,Very High,19.0,0.924,84.4258,15.22162588,13.36610034,43375.7894,0.972,7.96017109,2.706624269,4.511,16.662889,0.08,5.0,18.18,8.717694119,2019
Honduras,59,5.86,0.078,Medium,137.0,0.632,72.8811,10.13281417,7.088479996,5316.509508,0.955,22.34963475,10.52504826,21.61233,34.911526,0.447,65.0,6.06,1.106994714,2019
Kazakhstan,60,5.809,0.096,Very High,56.0,0.819,71.5675,15.6129303,12.34756189,22786.55302,0.993,7.022807503,7.561892509,3.16666,10.33987,0.168,10.0,34.41,15.94855749,2019
Bolivia,61,5.779,0.064,Medium,118.0,0.717,67.841,14.94697094,9.86411953,8542.603358,0.95,20.81747611,19.04623032,16.54294,26.863258,0.421,155.0,11.32,2.071353502,2019
Hungary,62,5.758,0.02,Very High,46.0,0.853,76.4543,15.0336281,12.15954494,31464.44259,0.982,7.031168797,4.04368639,3.11063,13.93919,0.227,12.0,15.27,5.067767347,2019
Paraguay,63,5.743,0.08,High,105.0,0.732,73.6207,12.98799113,8.810709953,12241.66584,0.986,18.53409927,12.00807381,13.15316,30.441064,0.448,84.0,18.93,1.2101264,2019
Peru,65,5.697,0.027,High,84.0,0.78,76.1559,15.38773354,9.885518863,12303.68873,0.951,16.51923973,8.929735184,14.32733,26.300654,0.397,88.0,9.43,1.691071484,2019
Portugal,66,5.693,0.025,Very High,38.0,0.867,81.7007,16.87122917,9.327420235,34078.58487,0.988,11.59595131,3.313993931,14.96519,16.50867,0.071,8.0,12.25,4.657562002,2019
Pakistan,67,5.653,0.098,Low,161.0,0.546,66.7558,8.658349991,4.536330223,4603.556579,0.798,29.64630326,28.17679977,43.52795,17.23416,0.534,140.0,3.45,1.081839891,2019
Philippines,69,5.631,0.107,Medium,116.0,0.718,71.8649,13.39021015,8.969099998,9790.637367,0.985,17.75757683,15.08147049,10.0958,28.09546,0.421,121.0,8.77,1.356081117,2019
Serbia,70,5.603,0.039,Very High,63.0,0.811,76.704,14.65697002,11.36987019,17314.26844,0.981,11.79273934,4.247848034,7.47189,23.65848,0.128,12.0,15.65,5.624290731,2019
Moldova,71,5.529,0.0,High,80.0,0.774,70.9351,14.46210003,11.82159042,13704.8965,1.01,7.410546161,9.224322319,2.570094084,10.43722208,0.229,19.0,3.41,1.275257138,2019
